#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-07-08T01:09:27 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5f04f1192611	
#INFO	-out.max=99999	
#INFO	queryParameters=29	
#-oc.form=dec
#-out.max=99999
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=II/246/out
#-nav=cat:II/246&tab:{II/246/out}&key:source=II/246&key:c=220.54852980992 11.96488163122&pos:220.54852980992 11.96488163122( 5.142666666666666 deg J2000)&HTTPPRM:&&-ref=VIZ5f04f1192611&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c=220.54852980992 11.96488163122&-c.eq=J2000&-c.r=2.5713&-c.u=deg&-c.geom=b&-order=I&-out=RAJ2000&-out=DEJ2000&-out=2MASS&-out=Jmag&-out=e_Jmag&-out=Hmag&-out=e_Hmag&-out=Kmag&-out=e_Kmag&-out=Qflg&-out=Rflg&-out=Bflg&-out=Cflg&-out=Xflg&-out=Aflg&-ignore=Opt=*&Opt=Opt&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=II/246/out
#-c=220.54852980992 11.96488163122
#-c.eq=J2000
#-c.r=2.5713
#-c.u=deg
#-c.geom=b
#-source=II/246/out
#-out=RAJ2000
#-out=DEJ2000
#-out=2MASS
#-out=Jmag
#-out=e_Jmag
#-out=Hmag
#-out=e_Hmag
#-out=Kmag
#-out=e_Kmag
#-out=Qflg
#-out=Rflg
#-out=Bflg
#-out=Cflg
#-out=Xflg
#-out=Aflg
#
#INFO	-c=220.548530+11.964882,bd=2.571300/2.5713	
#Constraint -bmark=POST

#RESOURCE=yCat_2246
#Name: II/246
#Title: 2MASS All-Sky Catalog of Point Sources (Cutri+ 2003)
#Table	II_246_out:
#Name: II/246/out
#Title: 2MASS Point Source Catalogue, output (on a total of 470,992,970 sources)
#Column	_r	(F8.6)	Distance from center (220.548530+11.964882)[FK5/J2000]	[ucd=pos.angDistance]
#Column	_RAJ2000	(F12.8)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F12.8)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	RAJ2000	(F10.6)	(ra) Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	(dec) Declination (J2000) (dec)	[ucd=pos.eq.dec;meta.main]
#Column	2MASS	(a17)	(designation) Source designation (1)	[ucd=meta.id;meta.main]
#Column	Jmag	(F6.3)	?(j_m) J selected default magnitude (2)	[ucd=phot.mag;em.IR.J]
#Column	e_Jmag	(F6.3)	?(j_msigcom) J total magnitude uncertainty (4)	[ucd=stat.error;phot.mag;em.IR.J]
#Column	Hmag	(F6.3)	?(h_m) H selected default magnitude (2)	[ucd=phot.mag;em.IR.H]
#Column	e_Hmag	(F6.3)	?(h_msigcom) H total magnitude uncertainty (4)	[ucd=stat.error;phot.mag;em.IR.H]
#Column	Kmag	(F6.3)	?(k_m) K selected default magnitude (2)	[ucd=phot.mag;em.IR.K]
#Column	e_Kmag	(F6.3)	?(k_msigcom) K total magnitude uncertainty (4)	[ucd=stat.error;phot.mag;em.IR.K]
#Column	Qflg	(A3)	(ph_qual) JHK Photometric quality flag (5)	[ucd=meta.code.qual;phot]
#Column	Rflg	(A3)	(rd_flg) Source of JHK default mag (6)	[ucd=meta.ref]
#Column	Bflg	(A3)	(bl_flg) JHK components fit to source (7)	[ucd=meta.code]
#Column	Cflg	(A3)	(cc_flg) Artifact contamination, confusion (8)	[ucd=meta.code]
#Column	Xflg	(I1)	[0,2] (gal_contam) Extended source contamination (10)	[ucd=meta.code]
#Column	Aflg	(I1)	[0,1] (mp_flg) Association with asteroid or comet (11)	[ucd=meta.code]
_r	_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	2MASS	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Qflg	Rflg	Bflg	Cflg	Xflg	Aflg
0.068700	220.50129700	+12.01572500	220.501297	+12.015725	14420031+1200566 	15.844	 0.095	15.107	 0.095	15.216	 0.184	AAC	222	111	000	0	0
0.068857	220.52547200	+12.02994000	220.525472	+12.029940	14420611+1201477 	16.222	 0.093	15.616	 0.141	14.879	      	ABU	220	110	000	0	0
0.070580	220.50753200	+12.02296200	220.507532	+12.022962	14420180+1201226 	16.601	 0.131	16.128	 0.210	15.617	      	BCU	220	110	000	0	0
0.071719	220.47870600	+11.98674900	220.478706	+11.986749	14415488+1159122 	15.485	 0.066	14.915	 0.085	14.693	 0.122	AAB	222	111	000	0	0
0.074444	220.58070600	+12.03234500	220.580706	+12.032345	14421936+1201564 	16.337	 0.161	15.990	 0.243	15.272	 0.240	CDD	222	111	000	0	0
0.076985	220.46986900	+11.96263900	220.469869	+11.962639	14415276+1157455 	11.682	 0.026	11.342	 0.025	11.243	 0.023	AAA	222	111	000	0	0
0.079067	220.62036400	+11.92865200	220.620364	+11.928652	14422888+1155431 	12.511	 0.023	11.939	 0.026	11.745	 0.023	AAA	222	111	000	0	0
0.079912	220.49382100	+12.02422900	220.493821	+12.024229	14415851+1201272 	16.690	 0.193	16.761	      	14.957	      	CUU	200	100	s00	0	0
0.082979	220.51849800	+11.88727900	220.518498	+11.887279	14420443+1153142 	13.544	 0.036	13.100	 0.037	13.083	 0.040	EEA	222	111	000	0	0
0.083964	220.50080500	+12.03467200	220.500805	+12.034672	14420019+1202048 	15.427	 0.093	14.874	 0.113	14.413	 0.121	ABB	222	111	000	0	0
0.084612	220.63001500	+11.99326000	220.630015	+11.993260	14423120+1159357 	16.354	 0.155	15.900	 0.226	15.409	 0.261	BDD	222	111	000	0	0
0.085805	220.62791900	+11.92841300	220.627919	+11.928413	14423070+1155422 	15.570	 0.070	14.908	 0.083	15.122	 0.195	AAC	222	111	000	0	0
0.087325	220.58872700	+11.88691500	220.588727	+11.886915	14422129+1153128 	14.381	 0.035	14.013	 0.050	13.911	 0.073	AAA	222	111	000	0	0
0.087528	220.48599600	+12.02748800	220.485996	+12.027488	14415663+1201389 	16.285	 0.117	15.660	 0.152	15.361	      	BCU	220	110	000	0	0
0.090438	220.49757200	+12.04034400	220.497572	+12.040344	14415941+1202252 	16.908	 0.209	15.946	 0.235	15.426	 0.269	DDD	222	111	000	0	0
0.090585	220.53200600	+12.05401300	220.532006	+12.054013	14420768+1203144 	16.898	 0.165	16.105	 0.216	15.322	 0.201	CCC	222	111	000	0	0
0.090692	220.63554700	+11.99617700	220.635547	+11.996177	14423253+1159462 	15.373	 0.067	14.744	 0.079	14.596	 0.134	AAB	222	111	000	0	0
0.091545	220.52866800	+12.05434200	220.528668	+12.054342	14420688+1203156 	15.294	 0.050	14.952	 0.073	14.667	 0.101	AAA	222	111	000	0	0
0.092581	220.64225500	+11.97771500	220.642255	+11.977715	14423414+1158397 	16.348	 0.127	15.499	 0.126	15.009	 0.159	BBC	222	111	000	0	0
0.093342	220.64275700	+11.97958200	220.642757	+11.979582	14423426+1158464 	16.641	 0.145	16.075	 0.203	15.171	      	BCU	220	110	000	0	0
0.094056	220.64419200	+11.97430500	220.644192	+11.974305	14423460+1158274 	16.767	 0.148	16.279	 0.232	15.586	      	BDU	220	110	000	0	0
0.094403	220.45860400	+11.93064900	220.458604	+11.930649	14415006+1155503 	15.859	 0.095	15.292	 0.123	15.279	 0.249	ABD	222	111	000	0	0
0.094667	220.51223800	+12.05264100	220.512238	+12.052641	14420293+1203095 	15.892	 0.085	15.180	 0.104	15.009	 0.164	AAC	222	111	000	0	0
0.095665	220.64556300	+11.97677700	220.645563	+11.976777	14423493+1158363 	16.440	 0.122	15.711	 0.155	15.154	 0.166	BCC	222	111	000	0	0
0.095769	220.47618500	+11.90037100	220.476185	+11.900371	14415428+1154013 	16.067	 0.107	15.687	 0.177	15.214	 0.240	ACD	222	111	000	0	0
0.096031	220.45711900	+11.99989900	220.457119	+11.999899	14414970+1159596 	13.531	 0.033	13.190	 0.033	13.184	 0.041	AAA	222	111	000	0	0
0.097157	220.45247800	+11.94019700	220.452478	+11.940197	14414859+1156247 	13.116	 0.030	12.802	 0.037	12.677	 0.032	AAA	222	211	c00	0	0
0.097239	220.45281300	+11.93867700	220.452813	+11.938677	14414867+1156192 	15.520	 0.061	15.258	 0.111	15.022	 0.121	ABB	222	211	ccc	0	0
0.097749	220.56616100	+11.86866700	220.566161	+11.868667	14421587+1152072 	15.016	 0.051	14.424	 0.051	13.976	 0.074	AAA	222	111	000	0	0
0.098866	220.49078900	+11.88374700	220.490789	+11.883747	14415778+1153014 	15.792	 0.090	15.142	 0.129	14.799	 0.149	ABB	222	111	000	0	0
0.099485	220.57921700	+11.87003600	220.579217	+11.870036	14421901+1152121 	14.875	 0.046	14.178	 0.064	14.057	 0.072	AAA	222	111	000	0	0
0.099876	220.53417800	+12.06376600	220.534178	+12.063766	14420820+1203495 	15.789	 0.068	15.572	 0.125	15.277	 0.169	ABC	222	111	000	0	0
0.100333	220.45310700	+11.92812200	220.453107	+11.928122	14414874+1155412 	16.495	 0.121	15.561	      	15.653	      	BUU	200	100	000	0	0
0.102545	220.48827300	+12.04879700	220.488273	+12.048797	14415718+1202556 	16.495	 0.151	15.846	 0.220	15.090	 0.196	CDC	222	111	000	0	0
0.102827	220.63664500	+11.90883500	220.636645	+11.908835	14423279+1154318 	16.028	 0.102	15.606	 0.163	15.951	      	ACU	220	110	000	0	0
0.103557	220.53716600	+11.86192300	220.537166	+11.861923	14420891+1151429 	16.879	 0.159	16.500	 0.294	15.928	 0.301	CDD	222	111	000	0	0
0.105117	220.48091300	+12.04658500	220.480913	+12.046585	14415541+1202477 	16.673	 0.186	15.771	 0.190	15.275	 0.225	CCD	222	111	000	0	0
0.105201	220.65304400	+11.94013400	220.653044	+11.940134	14423673+1156244 	16.306	 0.106	15.432	 0.115	15.420	 0.210	ABC	222	111	000	0	0
0.105508	220.63799300	+12.02382200	220.637993	+12.023822	14423311+1201257 	15.548	      	14.740	      	14.505	 0.121	UUB	662	002	00c	0	0
0.105527	220.65086300	+11.93152300	220.650863	+11.931523	14423620+1155534 	15.156	 0.043	14.636	 0.057	14.460	 0.087	AAA	222	111	000	0	0
0.105701	220.56675600	+12.06906900	220.566756	+12.069069	14421602+1204086 	15.223	 0.046	14.761	 0.064	14.550	 0.093	AAA	222	111	000	0	0
0.106178	220.47795600	+12.04555700	220.477956	+12.045557	14415470+1202440 	15.838	 0.098	15.008	 0.108	14.498	 0.107	AAA	222	111	000	0	0
0.106238	220.48743700	+11.87705500	220.487437	+11.877055	14415698+1152373 	15.374	 0.062	14.755	 0.077	14.613	 0.137	AAB	222	111	000	0	0
0.106335	220.62899300	+12.03638500	220.628993	+12.036385	14423095+1202109 	13.287	 0.026	13.027	 0.031	12.971	 0.036	AAA	222	111	000	0	0
0.106443	220.46501500	+11.89666600	220.465015	+11.896666	14415160+1153479 	14.118	 0.032	13.654	 0.042	13.476	 0.049	AAA	222	111	000	0	0
0.106448	220.60848400	+11.87605600	220.608484	+11.876056	14422603+1152338 	14.202	 0.030	13.528	 0.028	13.410	 0.053	AAA	222	111	000	0	0
0.106467	220.53841000	+12.07088800	220.538410	+12.070888	14420921+1204151 	14.003	 0.028	13.600	 0.034	13.624	 0.045	AAA	222	111	000	0	0
0.106481	220.63750800	+11.90356600	220.637508	+11.903566	14423300+1154128 	16.739	 0.199	15.950	 0.231	15.529	 0.265	CDD	222	111	000	0	0
0.106549	220.65411200	+11.93874600	220.654112	+11.938746	14423698+1156194 	15.307	 0.049	14.636	 0.063	14.608	 0.097	AAA	222	111	000	0	0
0.106796	220.50855100	+12.06426100	220.508551	+12.064261	14420205+1203513 	15.948	 0.099	15.318	 0.122	15.059	 0.181	ABC	222	111	000	0	0
0.106925	220.51722300	+11.86243800	220.517223	+11.862438	14420413+1151447 	15.020	 0.045	14.536	 0.062	14.272	 0.104	AAA	222	111	000	0	0
0.109234	220.52520400	+12.07170700	220.525204	+12.071707	14420604+1204181 	16.790	 0.159	15.980	      	15.489	      	CUU	200	100	000	0	0
0.109970	220.51212500	+12.06892800	220.512125	+12.068928	14420291+1204081 	16.269	 0.143	14.547	      	14.146	      	BUU	200	100	000	2	0
0.110350	220.51397400	+12.06992800	220.513974	+12.069928	14420335+1204117 	15.905	 0.152	15.020	 0.195	14.830	 0.202	BCC	222	111	000	1	0
0.110393	220.51568400	+12.07049700	220.515684	+12.070497	14420376+1204137 	15.207	      	15.495	 0.238	14.122	      	UDU	020	010	000	2	0
0.111092	220.64910100	+11.91330800	220.649101	+11.913308	14423578+1154479 	13.117	 0.024	12.506	 0.025	12.262	 0.025	AAA	222	111	000	0	0
0.111146	220.47114200	+12.04626700	220.471142	+12.046267	14415307+1202465 	16.333	 0.133	15.435	 0.168	14.789	 0.161	BCC	222	111	000	0	0
0.111481	220.66184400	+11.95308000	220.661844	+11.953080	14423884+1157110 	11.519	 0.038	11.223	 0.038	11.162	 0.031	AAA	222	111	000	0	0
0.112591	220.50639400	+11.86011100	220.506394	+11.860111	14420153+1151363 	16.042	 0.098	15.650	 0.152	14.937	      	ACU	220	110	000	0	0
0.113595	220.66387700	+11.95183900	220.663877	+11.951839	14423933+1157066 	 9.672	 0.025	 9.478	 0.027	 9.330	 0.019	AAE	222	111	000	0	0
0.114057	220.66441000	+11.95233600	220.664410	+11.952336	14423945+1157084 	12.103	 0.077	 9.611	      	 9.585	      	AUU	200	100	c00	0	0
0.114660	220.43547800	+11.93464800	220.435478	+11.934648	14414451+1156047 	16.661	 0.168	15.486	      	15.658	 0.205	CUC	202	101	000	0	0
0.115661	220.66602000	+11.95198900	220.666020	+11.951989	14423984+1157071 	13.742	      	13.431	      	15.042	 0.196	UUC	002	001	00c	0	0
0.115834	220.43072300	+11.97655100	220.430723	+11.976551	14414337+1158355 	16.661	 0.150	15.731	 0.142	15.813	 0.237	BBD	222	111	000	0	0
0.117268	220.50589100	+11.85528600	220.505891	+11.855286	14420141+1151190 	16.113	 0.104	15.678	 0.177	14.921	      	BCU	220	110	000	0	0
0.119646	220.44082700	+12.02159200	220.440827	+12.021592	14414579+1201177 	11.770	 0.023	11.390	 0.032	11.283	 0.023	AAA	222	111	000	0	0
0.120104	220.64268000	+11.88781500	220.642680	+11.887815	14423424+1153161 	15.828	 0.072	15.623	 0.133	15.816	      	ABU	220	110	000	0	0
0.121666	220.57893200	+11.84690800	220.578932	+11.846908	14421894+1150488 	16.527	 0.168	15.731	 0.186	15.431	 0.270	CCD	222	111	000	0	0
0.122057	220.54857400	+12.08693900	220.548574	+12.086939	14421165+1205129 	16.441	 0.124	15.776	 0.159	14.696	 0.113	BCB	222	111	000	0	0
0.122112	220.58181100	+12.08257500	220.581811	+12.082575	14421963+1204572 	14.179	 0.032	13.647	 0.048	13.522	 0.050	AAA	222	111	000	0	0
0.123972	220.57143800	+12.08681200	220.571438	+12.086812	14421714+1205125 	16.736	 0.164	17.377	      	15.395	      	CUU	200	100	000	0	0
0.123997	220.52272300	+11.84348300	220.522723	+11.843483	14420545+1150365 	14.937	 0.050	14.304	 0.056	14.120	 0.082	AAA	222	111	000	0	0
0.124576	220.67556800	+11.95630700	220.675568	+11.956307	14424213+1157227 	15.426	 0.051	14.856	 0.066	14.662	 0.100	AAA	222	111	000	0	0
0.126668	220.43281100	+11.90807800	220.432811	+11.908078	14414387+1154290 	16.171	 0.094	15.748	 0.173	15.299	 0.153	ACB	222	111	000	0	0
0.126751	220.61421500	+11.85563400	220.614215	+11.855634	14422741+1151202 	15.317	 0.064	14.933	 0.091	14.658	 0.131	AAB	222	111	000	0	0
0.127882	220.51707400	+12.08900800	220.517074	+12.089008	14420409+1205204 	14.936	 0.044	14.159	 0.038	14.028	 0.069	AAA	222	111	000	0	0
0.130468	220.66839500	+12.02210600	220.668395	+12.022106	14424041+1201195 	14.398	 0.029	13.976	 0.039	13.835	 0.053	AAA	222	111	000	0	0
0.130607	220.54530400	+12.09545100	220.545304	+12.095451	14421087+1205436 	16.067	 0.086	15.652	 0.132	15.300	 0.191	ABC	222	111	000	0	0
0.131105	220.44625100	+12.04961900	220.446251	+12.049619	14414710+1202586 	 9.235	 0.022	 8.767	 0.030	 8.617	 0.022	AAA	222	111	000	0	0
0.133236	220.47390200	+12.07634500	220.473902	+12.076345	14415373+1204348 	11.143	 0.023	10.508	 0.022	10.387	 0.024	AAA	222	111	000	0	0
0.133617	220.54005000	+12.09824100	220.540050	+12.098241	14420961+1205536 	16.343	 0.117	15.666	 0.134	15.638	 0.244	BBD	222	111	000	0	0
0.133848	220.48350900	+12.08265700	220.483509	+12.082657	14415604+1204575 	16.269	 0.159	15.301	 0.139	15.090	 0.204	CBC	222	111	000	0	0
0.133983	220.67894500	+11.92399400	220.678945	+11.923994	14424294+1155263 	16.189	 0.093	15.721	 0.166	14.481	      	ACU	220	110	000	0	0
0.134025	220.68320500	+11.98950800	220.683205	+11.989508	14424396+1159222 	12.402	 0.022	12.037	 0.023	11.960	 0.022	AAA	222	111	000	0	0
0.135673	220.48858900	+11.84254100	220.488589	+11.842541	14415726+1150331 	16.006	 0.098	15.363	 0.116	15.144	 0.203	ABC	222	111	000	0	0
0.135849	220.63267500	+12.07296300	220.632675	+12.072963	14423184+1204226 	16.336	 0.149	15.348	 0.148	14.755	      	BBU	220	110	000	0	0
0.135900	220.68117900	+12.00527700	220.681179	+12.005277	14424348+1200189 	16.426	 0.159	16.996	      	16.674	      	CUU	200	100	000	0	0
0.137323	220.48288100	+12.08626900	220.482881	+12.086269	14415589+1205105 	15.611	 0.081	15.411	 0.165	15.108	 0.211	ACC	222	111	000	0	0
0.137971	220.68872600	+11.94988900	220.688726	+11.949889	14424529+1156596 	16.278	 0.102	15.775	 0.164	15.683	 0.258	ACD	222	111	000	0	0
0.138345	220.47156400	+12.08095300	220.471564	+12.080953	14415317+1204514 	16.288	 0.126	15.536	 0.160	15.248	      	BCU	220	110	c00	0	0
0.140082	220.49334600	+12.09414900	220.493346	+12.094149	14415840+1205389 	16.244	 0.160	15.693	      	14.181	      	CUU	200	200	c00	0	0
0.140844	220.49255100	+12.09464900	220.492551	+12.094649	14415821+1205407 	16.342	 0.203	15.949	      	14.424	      	CUU	200	200	c00	0	0
0.140870	220.59055800	+12.09962100	220.590558	+12.099621	14422173+1205586 	14.273	 0.037	14.044	 0.056	13.934	 0.080	AAA	222	111	000	0	0
